uf;regiao;ano;carteira_ativa;carteira_inadimplencia;taxa_inadimplencia
AC;Norte;2013;34700109475.409996;1758784667.92;5.068527720831403
AC;Norte;2014;38934204990.69;1791115182.07;4.6003640821696345
AC;Norte;2015;42614463718.56;1756788822.07;4.1225177293615936
AC;Norte;2016;43696249565.59;1961973636.68;4.4900275336788145
AC;Norte;2017;45802093777.8;1792540493.5;3.913664956445361
AC;Norte;2018;49467514547.03;1608831953.88;3.252299956066003
AC;Norte;2019;56588737003.18;1920486677.33;3.3937613366809694
AC;Norte;2020;64488600580.100006;2086239690.38;3.2350518876413257
AC;Norte;2021;78356214685.92;2107023730.6100001;2.6890320557925267
AC;Norte;2022;100840991972.02;3217494268.31;3.1906610648998246
AC;Norte;2023;120555096808.77;4351962969.45;3.609936937260547
AC;Norte;2024;142236474588.48;5188819273.26;3.6480229760139546
AL;Nordeste;2013;128678511106.91;7906560016.32;6.144429204462111
AL;Nordeste;2014;147766739141.83;8260634534.43;5.590320651592135
AL;Nordeste;2015;164759351889.33;8661400516.67;5.2570008423484955
AL;Nordeste;2016;174313544313.96;9722110205.53;5.577369356921165
AL;Nordeste;2017;185118951982.61;9036135621.23;4.881259063134093
AL;Nordeste;2018;197522654634.38;9197937379.55;4.656649332997088
AL;Nordeste;2019;216857778402.26;9539275895.45;4.398862685826807
AL;Nordeste;2020;235899410522.03;11237031880.8;4.763484510594232
AL;Nordeste;2021;273523617600.19;10503224863.46;3.839970001717578
AL;Nordeste;2022;331019098697.28;16980781331.45;5.129849425086822
AL;Nordeste;2023;373665233361.25;20727281166.91;5.547018913282573
AL;Nordeste;2024;414274136843.72003;20516104405.68;4.9523015271936845
AM;Norte;2013;124769366754.75;7615730938.48;6.103846750660908
AM;Norte;2014;141180656270.16;8279838274.75;5.8647115642428345
AM;Norte;2015;156976700958.97;8562972395.16;5.454932064980878
AM;Norte;2016;163485457528.79;10284518926.29;6.2907851754819735
AM;Norte;2017;167590956964.86;9472948240.82;5.652422071201766
AM;Norte;2018;175887480705.97;8051809330.76;4.577818329333035
AM;Norte;2019;199278370859.66;8565743377.04;4.298380872991152
AM;Norte;2020;225577568270.55;9892811777.58;4.385547664790367
AM;Norte;2021;267856955586.22;10795596130.99;4.0303587067071796
AM;Norte;2022;340329870668.46;17742224044.32;5.21324325997937
AM;Norte;2023;387703965894.35;24190188448.45;6.239345112874566
AM;Norte;2024;432031349384.84;23140900185.45;5.356301161570757
AP;Norte;2013;35324023393.49;2188917619.35;6.196682622946638
AP;Norte;2014;40237788072.08;2106528913.95;5.235200578561792
AP;Norte;2015;45900553505.729996;2469234928.15;5.379531921857442
AP;Norte;2016;47623749045.19;2606425459.37;5.4729531202946085
AP;Norte;2017;48271876614.38;2673438924.87;5.538294991567809
AP;Norte;2018;49887489045.71;2658350308.7;5.328691340356407
AP;Norte;2019;54562381414.98;2584417634.51;4.736629097718328
AP;Norte;2020;61234645410.22;2786534831.57;4.550585396392171
AP;Norte;2021;74477705476.41;2686568636.24;3.607211875090514
AP;Norte;2022;91858181278.19;3988316558.38;4.341819642935769
AP;Norte;2023;107607303162.06;4758194236.81;4.421813480116688
AP;Norte;2024;124654481589.94;5332950702.7;4.278186098629915
BA;Nordeste;2013;561689411185.8;31018019904.85;5.522272502763919
BA;Nordeste;2014;652645823094.84;31789562581.35;4.87087505296582
BA;Nordeste;2015;734870296397.48;34875585210.67;4.74581506173796
BA;Nordeste;2016;772018928498.95;41519093075.09;5.377989002914255
BA;Nordeste;2017;810547837581.99;40792772360.19;5.032740878303023
BA;Nordeste;2018;865027270073.48;38669046446.56;4.470269063688043
BA;Nordeste;2019;957234559677.78;41346030729.96;4.3193207257244985
BA;Nordeste;2020;1044370025789.47;46867036672.57;4.487589217925115
BA;Nordeste;2021;1215191291416.54;45640080437.65;3.7557939033983425
BA;Nordeste;2022;1473030361313.33;71844526497.64;4.877328287625014
