uf;regiao;taxa_media_inadimplencia
RJ;Sudeste;5.66738142145785
AM;Norte;5.289050072756001
PE;Nordeste;5.2193137222793204
AL;Nordeste;5.062879372657701
AP;Norte;4.9279291976345885
BA;Nordeste;4.817397738342523
RN;Nordeste;4.721681036458431
PA;Norte;4.6854626470057825
CE;Nordeste;4.668574801946257
RR;Norte;4.525922521251226
PB;Nordeste;4.519791339651871
MA;Nordeste;4.473523102518986
PI;Nordeste;4.416306018104333
SE;Nordeste;4.182021743264784
SP;Sudeste;3.8491672750369244
ES;Sudeste;3.792281487522815
AC;Norte;3.7685740400587893
TO;Norte;3.7167653544605517
MG;Sudeste;3.6210500096513525
GO;Centro-Oeste;3.516161653135951
DF;Centro-Oeste;3.422105717044175
PR;Sul;3.060849831071475
SC;Sul;2.8699655272492595
MS;Centro-Oeste;2.832222309065137
RO;Norte;2.8257338785436414
RS;Sul;2.768778084423358
MT;Centro-Oeste;2.5162258481213273
