regiao;ano;carteira_ativa;carteira_inadimplencia;taxa_inadimplencia;total_desastres
Centro-Oeste;2013;1640961747412.55;61914534566.19;3.77306385501162;78
Nordeste;2013;2072691262757.76;114265312155.99;5.512895924690567;1482
Norte;2013;639405981603.28;35241180920.73;5.511550084715258;129
Sudeste;2013;6713905255271.93;330386801548.81;4.92093333145239;700
Sul;2013;2720045487146.66;95373200933.5;3.506309044616269;522
Centro-Oeste;2014;1934902665182.31;61840074846.71;3.1960302685759814;120
Nordeste;2014;2397339154323.14;116521919420.18001;4.860468707986316;1191
Norte;2014;733393133725.69;35908015315.24;4.896148281730522;118
Sudeste;2014;7609374448787.05;328017183152.46;4.310698407077951;302
Sul;2014;3165216069521.04;94685484174.52;2.991438249232944;774
Centro-Oeste;2015;2185345141691.51;71958495730.36;3.2927748737511724;68
Nordeste;2015;2700850177356.1;125222829189.56;4.636422643485629;817
Norte;2015;822902254954.81;37652605969.39;4.575586680274403;157
Sudeste;2015;8267927880625.61;348445980876.28;4.214429369815864;343
Sul;2015;3498579066392.87;105006352557.72;3.001400013119738;728
Centro-Oeste;2016;2321960164587.72;86503941068.45;3.725470504951981;97
Nordeste;2016;2890192333822.91;147407213654.19;5.100256198493606;1344
Norte;2016;882334512368.67;43883963735.8;4.973619768991169;86
Sudeste;2016;8689190763051.62;398581960190.49;4.5871010438089295;466
Sul;2016;3709786003347.15;120424565452.1;3.246132400721958;359
Centro-Oeste;2017;2479749505395.45;85246208998.58;3.4376943644146682;298
Nordeste;2017;3071045972802.81;145962621025.11;4.752863432125578;1213
Norte;2017;931101076343.0;44015028900.7;4.727202021242825;212
Sudeste;2017;9075257679384.01;391657336177.65;4.315660778066569;544
Sul;2017;3929206017533.32;117053662404.72;2.9790665565101637;822
Centro-Oeste;2018;2694025663464.94;81114879350.58;3.0109170989207854;247
Nordeste;2018;3305664956419.47;144146423944.15;4.360587834657089;1072
Norte;2018;1005022792257.6;42578718017.05;4.236592278808394;270
Sudeste;2018;9631467104184.79;374621421250.57;3.8895571899716113;502
Sul;2018;4203711781638.54;115546535906.15;2.7486788321418123;469
Centro-Oeste;2019;3007464273644.32;84519483590.6;2.8103237777844927;274
Nordeste;2019;3675597983384.71;158103425661.5;4.301434117011593;1093
Norte;2019;1133993409321.66;44023581133.12;3.8821725744820985;264
Sudeste;2019;10598436262835.05;403931319042.32;3.8112350635986143;529
Sul;2019;4628344016817.77;126655767055.6;2.7365244803622555;378
Centro-Oeste;2020;3392912340648.23;92407296319.17;2.723539161684183;684
Nordeste;2020;4020762341632.55;182463963090.01;4.538043972425492;994
Norte;2020;1291093148866.92;48666076958.59;3.769369932858832;199
Sudeste;2020;11569218357535.62;431742012373.5;3.7318166105170323;822
Sul;2020;5077724524991.42;137317037315.44;2.7043026190096837;1181
Centro-Oeste;2021;4028363621283.27;92355209648.4;2.292623465281405;500
Nordeste;2021;4710637950286.11;175894376441.99;3.7339820699085284;1121
Norte;2021;1585951163438.42;47809467469.52;3.0145611398188787;305
Sudeste;2021;13485934282127.621;431079795616.43;3.1965141353812108;799
Sul;2021;5948329071100.09;135923260011.05;2.2850662494688145;831
Centro-Oeste;2022;4921486225024.15;131829012812.31;2.6786423203219085;393
Nordeste;2022;5723725635859.43;281970016207.45;4.926337042448256;1303
Norte;2022;2045391009505.4;75426479920.66;3.687631341398095;479
Sudeste;2022;16069805162180.06;630082153708.13;3.9209072378239824;1369
Sul;2022;7105941421179.0;192326702183.24;2.7065618865083416;1477
Centro-Oeste;2023;5722805943659.06;176838857371.13;3.0900725817388524;535
Nordeste;2023;6492262514850.05;356033283878.67;5.4839631494305525;1199
Norte;2023;2436302629423.34;102479170204.21;4.206339925367412;415
Sudeste;2023;18040644668222.24;783719974561.72;4.344190515221479;973
Sul;2023;8122686978859.56;247506461429.06;3.0471008186481954;1993
Centro-Oeste;2024;6525746795987.18;218525595098.15;3.3486680058215867;555
Nordeste;2024;7228507990931.6;347258710998.9;4.804016422677369;1038
Norte;2024;2813512874577.85;115873423112.05;4.118460738497103;971
Sudeste;2024;19990805397961.22;772902988644.94;3.8662923942212215;1054
Sul;2024;9114874451384.01;262286935247.48;2.8775704662355954;1081
